State,Month,Regular (<95 RON) (ML),Premium (95-97 RON) (ML),Premium (98+ RON) (ML),Ethanol-blended fuel (ML),Automotive gasoline: total (ML),Total: of which sales to retailers (ML),Diesel oil: total,Diesel oil: of which sales to retailers (ML),Aviation turbine fuel: domestic (ML),Aviation turbine fuel: international (ML),Aviation turbine fuel: total (ML),Other products (ML),Total: Petroleum sales
WA,Feb 2021,91.5,16.1,19.3,n.p,126.9,109.8,544.1,85.4,n.p,n.p,n.p,31.3,253.8
WA,Mar 2021,114.7,20.3,24,n.p,159.0,136.3,629.1,103.2,n.p,n.p,n.p,31.7,318.0
WA,Apr 2021,103.2,18.1,21.1,n.p,142.4,119.7,628.9,99.3,n.p,n.p,n.p,28.5,284.8
WA,May 2021,108.3,19.0,22.9,n.p,150.2,127.9,678.0,104.7,n.p,n.p,n.p,35.1,300.4
WA,Jun 2021,104.8,18.8,22.4,n.p,146.0,123.0,639.9,102.1,n.p,n.p,n.p,30.9,292.0
WA,Jul 2021,101.2,17.8,21.2,n.p,140.2,124.6,635.6,109.2,n.p,n.p,n.p,31.6,280.4
WA,Aug 2021,111.1,19.8,23.6,n.p,154.5,138.0,670.3,111.9,n.p,n.p,n.p,33.8,309.0
WA,Sep 2021,106.7,19.2,23.1,n.p,149.0,125.9,626.2,106.2,n.p,n.p,n.p,48.9,298.0
WA,Oct 2021,109.0,18.8,22.4,n.p,150.2,132.6,661.9,111.6,n.p,n.p,n.p,32.7,300.4
WA,Nov 2021,113.5,19.5,22.7,n.p,155.7,139.1,676.7,113.8,n.p,n.p,n.p,38.7,311.4
WA,Dec 2021,113.2,20.1,23.5,n.p,156.7,138.5,665.0,110.8,n.p,n.p,n.p,29.8,313.5
WA,Jan 2022,104.9,18.4,21.3,n.p,144.6,128.1,593.2,102.5,n.p,n.p,n.p,44.2,289.2
WA,Feb 2022,101.4,17.3,19.3,n.p,138.0,122.7,591.8,102.7,n.p,n.p,n.p,28.3,276.0
WA,Mar 2022,107.8,17.6,18.4,n.p,143.8,127.4,646.0,111.0,n.p,n.p,n.p,76.8,287.6
WA,Apr 2022,98.3,16.5,18.9,n.p,133.8,118.3,612.1,103.3,n.p,n.p,n.p,30.1,267.5
WA,May 2022,102.7,16.9,18.6,n.p,138.3,122.4,647.2,112.6,n.p,n.p,n.p,30.8,276.5
WA,Jun 2022,103.5,17.0,17.8,n.p,138.2,121.7,629.7,107.7,n.p,n.p,n.p,62.5,276.5
WA,Jul 2022,104.1,17.0,18.9,n.p,140.0,125.5,615.9,110.9,n.p,n.p,n.p,44.0,280.0
WA,Aug 2022,106.3,17.6,19.6,n.p,143.5,128.0,644.0,110.5,n.p,n.p,n.p,29.5,287.0
WA,Sep 2022,107.7,18.0,21.1,n.p,146.8,128.8,643.2,107.4,n.p,n.p,n.p,29.9,293.6
WA,Oct 2022,101.8,17.1,19.2,n.p,138.2,122.8,637.2,110.8,n.p,n.p,n.p,30.2,276.3
WA,Nov 2022,109.9,18.3,20.1,n.p,148.3,133.6,711.3,117.9,n.p,n.p,n.p,27.8,296.6
WA,Dec 2022,110.4,18.9,22.4,n.p,151.8,136.8,686.0,118.4,n.p,n.p,n.p,32.6,303.5
WA,Jan 2023,102.0,21.3,24.7,n.p,148.0,131.4,619.4,106.3,n.p,n.p,n.p,24.5,296.0
WA,Feb 2023,100.4,22.5,23.9,n.p,146.8,133.1,601.5,104.8,n.p,n.p,n.p,26.4,293.6
WA,Mar 2023,112.0,25.2,27.3,n.p,164.6,148.2,666.4,118.5,n.p,n.p,n.p,33.7,329.1
WA,Apr 2023,99.2,21.9,24.6,n.p,145.7,120.0,663.3,102.4,n.p,n.p,n.p,30.4,291.4
WA,May 2023,109.1,24.7,26.7,n.p,160.5,125.2,687.6,112.6,n.p,n.p,84.6,31.8,321.0
WA,Jun 2023,101.0,22.5,25,n.p,148.5,122.8,660.1,103.8,n.p,n.p,n.p,27.7,297.0
WA,Jul 2023,95.8,21.9,24.6,n.p,142.2,116.3,637.4,110.9,n.p,n.p,n.p,38.0,284.5
WA,Aug 2023,109.1,23.3,25,n.p,157.3,121.2,651.0,104.8,n.p,n.p,n.p,36.9,314.7
WA,Sep 2023,100.2,21.7,23.7,n.p,145.7,116.9,624.0,105.2,n.p,n.p,n.p,25.5,291.3
WA,Oct 2023,108.1,23.5,25.9,n.p,157.4,121.0,692.0,107.1,n.p,n.p,n.p,39.6,314.9
WA,Nov 2023,107.4,23.9,26.1,n.p,157.4,120.6,722.2,102.3,n.p,n.p,n.p,29.2,314.8
WA,Dec 2023,105.4,24.1,27,n.p,156.5,123.1,665.9,100.9,n.p,n.p,n.p,28.0,313.0
WA,Jan 2024,105.4,23.7,26.3,n.p,155.4,126.7,642.5,101.6,n.p,n.p,n.p,28.3,310.8
WA,Feb 2024,107.5,23.7,26.4,n.p,157.7,130.8,636.4,107.4,n.p,n.p,n.p,31.8,315.3
WA,Mar 2024,109.9,25.1,27.4,n.p,162.4,134.9,642.7,113.0,n.p,n.p,n.p,33.7,324.8
WA,Apr 2024,102.1,23.8,24.5,n.p,150.5,123.1,675.9,103.5,n.p,n.p,n.p,30.1,300.9
WA,May 2024,108.4,24.5,25.7,n.p,158.5,127.7,725.8,112.3,n.p,n.p,n.p,44.0,317.1
WA,Jun 2024,98.0,22.1,24.5,n.p,144.7,118.7,630.3,105.4,n.p,n.p,n.p,33.6,289.3
